user_id,signup_date,last_login_date,total_sessions,avg_session_minutes,subscription_tier,monthly_spend,support_tickets,churned
U003145,2023-03-05,2023-10-20,29,,premium,,,0
U003146,2023-11-11,2023-12-13,56,,basic,,,0
U003147,2022-07-24,2023-09-19,47,,premium,,,0
U003148,2022-08-13,2022-10-15,37,3.7,free,0.0,0.0,0
U003149,2022-11-19,2023-01-29,9,20.92,basic,14.98,1.0,1
U003150,2022-02-26,2023-08-19,22,2.99,free,0.55,0.0,0
U003151,2022-06-08,2022-06-28,14,8.74,enterprise,91.6,1.0,0
U003152,2022-12-14,2023-08-17,19,16.92,basic,7.57,5.0,0
U003153,2022-08-07,2023-07-26,27,31.1,enterprise,95.0,2.0,0
U003154,2022-07-20,2023-06-15,32,14.83,free,1.67,2.0,0
U003155,2023-06-15,2023-06-22,48,,free,,,1
U003156,2023-05-06,2023-05-14,109,14.17,premium,28.37,0.0,0
U003157,2023-03-04,2023-04-03,17,9.02,premium,27.86,1.0,0
U003158,2022-08-20,2023-08-22,19,22.56,premium,31.61,0.0,0
U003159,2023-04-22,2023-07-13,56,,free,,,0
U003160,2022-02-12,2022-10-17,57,8.97,free,0.0,2.0,0
U003161,2023-10-20,2023-11-18,108,31.85,basic,6.85,2.0,0
U003162,2022-11-14,2023-05-15,82,,enterprise,,,0
U003163,2023-06-22,2023-08-07,71,22.18,free,10.19,2.0,0
U003164,2023-01-25,2023-07-28,6,,enterprise,,,0
U003165,2023-11-18,2024-01-03,37,,premium,,,0
U003166,2022-05-14,2023-12-13,18,23.31,free,0.0,0.0,0
U003167,2023-06-07,2024-01-08,61,16.81,enterprise,96.98,2.0,0
U003168,2022-07-30,2023-06-12,16,,free,,,0
U003169,2023-11-08,2023-11-20,20,1.75,free,2.41,2.0,0
U003170,2022-04-09,2022-11-20,108,1.65,free,0.0,1.0,0
U003171,2022-08-14,2022-08-15,35,8.11,free,0.39,1.0,0
U003172,2022-03-28,2022-10-21,17,16.51,premium,30.56,2.0,0
U003173,2023-01-02,2024-01-05,5,3.8,free,0.2,0.0,1
U003174,2023-01-19,2023-02-19,84,23.24,free,1.38,3.0,0
U003175,2022-04-25,2022-09-18,51,10.83,premium,28.98,2.0,0
U003176,2022-06-26,2023-07-05,67,9.81,enterprise,100.94,1.0,0
U003177,2022-11-29,2023-11-25,42,22.98,enterprise,99.82,0.0,0
U003178,2022-11-06,2023-09-03,16,11.49,free,2.4,4.0,1
U003179,2023-02-10,2023-07-26,24,,free,,,0
U003180,2023-07-08,2024-01-12,28,14.41,enterprise,100.91,1.0,0
U003181,2022-03-02,2023-07-14,83,17.54,basic,11.18,2.0,0
U003182,2023-06-21,2023-12-20,29,12.71,enterprise,102.9,0.0,0
U003183,2022-03-28,2023-03-29,37,29.35,free,4.06,1.0,0
U003184,2022-04-22,2022-10-19,3,11.88,free,3.02,0.0,1
U003185,2023-02-18,2023-04-25,54,5.35,free,0.0,0.0,0
U003186,2023-12-15,2024-01-15,20,16.53,premium,32.82,0.0,0
U003187,2022-05-09,2023-06-14,23,,premium,,,0
U003188,2022-05-14,2022-06-17,16,,free,,,0
U003189,2023-01-25,2023-12-05,12,11.29,free,5.31,2.0,0
U003190,2022-05-16,2022-08-31,68,6.12,enterprise,98.12,0.0,0
U003191,2023-07-25,2023-10-18,33,2.79,premium,25.13,1.0,0
U003192,2023-04-17,2023-10-12,10,18.36,enterprise,101.79,1.0,0
U003193,2023-06-28,2023-12-08,8,12.56,premium,27.87,1.0,0
U003194,2023-09-17,2024-01-01,51,11.9,premium,33.24,1.0,0
U003195,2022-03-02,2023-02-09,15,18.22,basic,7.66,1.0,0
U003196,2023-03-20,2023-07-06,67,21.73,free,0.0,1.0,0
U003197,2023-10-08,2023-11-22,19,57.54,free,0.0,0.0,0
U003198,2023-08-28,2023-08-29,20,8.04,free,1.78,3.0,0
U003199,2022-09-24,2023-10-05,16,31.56,basic,9.29,0.0,0
U003200,2023-06-29,2023-10-13,37,,basic,,,0
U003201,2022-11-24,2023-05-23,27,8.76,basic,15.13,1.0,0
U003202,2023-09-04,2024-01-05,64,,premium,,,0
U003203,2022-05-04,2022-12-21,19,13.24,free,0.18,0.0,0
U003204,2023-10-02,2024-01-13,96,,premium,,,0
U003205,2023-02-18,2023-03-01,34,,free,,,0
U003206,2023-08-31,2023-09-19,30,25.4,free,0.63,0.0,0
U003207,2022-11-27,2023-02-18,75,3.33,premium,35.29,0.0,0
U003208,2022-06-04,2022-09-08,44,11.89,free,1.22,1.0,0
U003209,2022-03-28,2023-08-05,3,18.3,premium,25.13,1.0,0
U003210,2022-10-01,2023-09-01,48,7.33,free,0.0,2.0,0
U003211,2022-09-28,2022-12-18,55,8.26,free,3.82,0.0,0
U003212,2023-01-11,2023-04-27,8,,enterprise,,,0
U003213,2022-10-23,2023-10-15,18,,basic,,,0
U003214,2022-06-11,2023-03-10,122,12.24,basic,4.93,0.0,0
U003215,2023-02-15,2023-06-17,57,10.61,free,3.57,2.0,0
U003216,2022-11-09,2023-08-29,25,34.92,basic,10.14,1.0,0
U003217,2022-08-01,2023-01-06,28,,free,,,0
U003218,2023-12-13,2024-01-10,45,7.93,free,4.85,2.0,0
U003219,2022-02-07,2023-11-10,18,23.33,basic,9.1,0.0,0
U003220,2023-05-26,2023-06-20,13,,free,,,0
U003221,2023-06-25,2023-12-06,12,,free,,,0
U003222,2023-09-24,2023-11-24,41,,premium,,,0
U003223,2023-02-04,2023-08-27,66,31.31,basic,17.41,1.0,0
U003224,2022-02-08,2022-11-07,35,18.81,free,0.59,2.0,0
U003225,2022-06-07,2023-07-09,45,15.53,free,0.0,1.0,0
U003226,2022-11-21,2023-05-30,56,37.46,free,0.0,2.0,0
U003227,2023-11-01,2023-12-05,41,34.55,basic,7.36,1.0,0
U003228,2023-03-22,2023-07-16,74,,premium,,,0
U003229,2022-05-18,2022-07-21,45,6.66,free,0.83,0.0,0
U003230,2022-02-01,2022-05-12,40,14.59,free,0.0,0.0,0
U003231,2022-12-29,2023-10-03,23,12.03,basic,5.28,0.0,0
U003232,2022-04-22,2022-12-11,20,5.06,basic,5.37,1.0,0
U003233,2022-11-15,2024-01-09,7,9.96,basic,3.86,4.0,1
U003234,2022-06-16,2023-10-16,20,31.21,basic,10.48,0.0,0
U003235,2023-04-19,2023-12-19,76,,free,,,0
U003236,2022-11-07,2023-11-08,22,,free,,,0
U003237,2022-05-11,2023-10-23,45,,premium,,,0
U003238,2022-01-22,2023-10-20,39,,free,,,0
U003239,2022-09-13,2022-12-11,100,2.72,enterprise,103.95,1.0,0
U003240,2023-06-28,2023-08-22,45,,premium,,,0
U003241,2023-08-09,2023-08-20,22,12.61,basic,5.59,5.0,0
U003242,2022-01-16,2023-04-07,33,,free,,,0
U003243,2022-03-14,2022-08-13,55,,premium,,,0
U003244,2023-03-27,2023-09-07,24,8.0,enterprise,102.11,0.0,0
U003245,2023-10-09,2023-10-21,32,,free,,,0
U003246,2022-11-05,2023-08-15,14,10.22,free,0.0,1.0,0
U003247,2023-03-09,2023-12-01,8,33.95,basic,8.41,1.0,0
U003248,2023-12-04,2024-01-13,73,,basic,,,0
U003249,2022-10-13,2022-12-10,44,,basic,,,0
U003250,2023-07-18,2023-12-11,46,7.69,basic,12.93,4.0,0
U003251,2023-09-05,2023-10-03,24,23.83,basic,9.22,0.0,0
U003252,2023-09-04,2023-11-17,13,47.58,premium,26.82,1.0,0
U003253,2022-12-29,2023-07-28,48,5.58,free,0.48,0.0,0
U003254,2022-02-14,2023-06-27,67,17.88,basic,7.78,2.0,0
U003255,2022-08-19,2022-09-27,5,4.96,free,0.0,0.0,1
U003256,2022-10-30,2023-01-12,37,,basic,,,0
U003257,2022-01-18,2023-12-30,18,20.91,basic,9.84,2.0,0
U003258,2022-11-06,2023-04-25,35,,basic,,,0
U003259,2023-10-27,2023-12-27,6,,enterprise,,,0
U003260,2022-11-30,2022-12-11,15,8.45,free,0.0,2.0,0
U003261,2023-02-09,2023-07-19,25,,free,,,0
U003262,2022-07-31,2022-11-09,70,18.18,enterprise,100.4,2.0,0
U003263,2023-04-27,2023-07-05,37,23.68,free,0.0,3.0,0
U003264,2022-09-19,2023-10-21,26,,premium,,,0
U003265,2023-03-16,2023-10-16,84,20.35,basic,14.26,0.0,0
U003266,2023-09-16,2023-10-11,32,14.41,basic,13.49,1.0,0
U003267,2022-10-26,2023-11-10,81,,basic,,,0
U003268,2022-07-06,2023-07-24,11,,premium,,,0
U003269,2022-07-07,2022-12-17,27,18.78,free,0.0,2.0,0
U003270,2022-07-16,2023-09-03,33,21.87,free,0.89,0.0,0
U003271,2022-06-28,2022-07-28,19,,free,,,0
U003272,2023-05-25,2023-12-26,37,16.63,free,0.0,3.0,0
U003273,2023-11-13,2023-12-13,9,18.19,free,0.0,2.0,1
U003274,2022-12-12,2023-12-08,47,10.62,free,0.64,1.0,0
U003275,2022-12-04,2023-07-30,19,5.27,basic,12.0,0.0,0
U003276,2022-03-06,2022-07-11,16,20.18,basic,12.76,1.0,0
U003277,2023-04-13,2023-10-21,22,,basic,,,0
U003278,2022-09-16,2022-12-16,19,2.47,enterprise,98.04,1.0,0
U003279,2022-08-18,2023-08-12,34,17.17,free,2.23,3.0,0
U003280,2023-03-27,2023-05-13,26,12.22,free,4.25,1.0,0
U003281,2022-11-16,2022-12-12,19,18.39,free,2.51,0.0,0
U003282,2022-05-10,2022-12-16,79,18.17,premium,35.53,1.0,0
U003283,2022-02-22,2022-10-11,45,27.59,basic,9.02,1.0,0
U003284,2023-03-16,2023-10-12,30,33.22,basic,12.03,2.0,0
U003285,2022-01-17,2022-01-27,32,25.88,basic,14.81,2.0,0
U003286,2023-08-03,2023-09-17,9,8.56,basic,8.16,0.0,0
U003287,2023-12-08,2023-12-23,53,6.5,free,2.81,0.0,0
U003288,2023-02-07,2024-01-03,22,18.12,free,2.99,0.0,0
U003289,2022-11-26,2023-05-24,46,,basic,,,0
U003290,2023-05-07,2023-09-04,26,46.36,free,2.11,2.0,0
U003291,2022-07-01,2023-08-12,24,28.31,basic,8.86,2.0,0
U003292,2023-12-09,2024-01-11,53,11.11,enterprise,97.99,0.0,0
U003293,2022-11-28,2023-09-12,62,,basic,,,0
U003294,2022-04-02,2023-01-17,4,,free,,,1
U003295,2023-08-28,2023-12-30,44,,free,,,0
U003296,2023-03-08,2023-08-22,26,6.99,premium,28.5,1.0,0
U003297,2023-03-24,2023-08-24,63,19.69,free,0.39,1.0,0
U003298,2022-07-05,2023-03-09,48,,premium,,,0
U003299,2022-04-11,2023-05-30,56,16.52,basic,9.42,0.0,0
U003300,2022-01-18,2022-06-11,49,53.51,premium,30.04,0.0,0
U003301,2022-02-13,2023-07-08,8,14.06,enterprise,99.59,1.0,0
U003302,2023-03-26,2023-10-27,17,,basic,,,0
U003303,2023-11-10,2023-12-05,13,18.92,free,0.44,1.0,0
U003304,2023-05-03,2024-01-02,40,7.25,enterprise,97.81,1.0,0
U003305,2022-01-28,2023-01-31,28,13.13,basic,13.36,1.0,0
U003306,2023-06-25,2023-12-11,21,17.54,premium,28.0,1.0,0
U003307,2023-06-14,2023-08-29,15,32.66,free,2.73,1.0,0
U003308,2023-08-07,2023-10-13,34,,premium,,,0
U003309,2022-05-23,2022-11-27,10,2.81,enterprise,101.21,1.0,0
U003310,2023-01-07,2023-12-09,18,7.26,free,0.39,2.0,0
U003311,2022-12-18,2023-04-12,14,24.82,premium,33.65,2.0,0
U003312,2023-02-05,2023-09-09,62,12.46,premium,29.14,0.0,0
U003313,2023-01-11,2023-07-21,15,17.16,free,0.0,0.0,0
U003314,2023-02-18,2023-10-14,23,,premium,,,0
U003315,2022-08-22,2022-09-19,41,33.85,premium,29.06,0.0,0
U003316,2022-04-28,2023-12-14,31,8.24,enterprise,100.19,0.0,0
U003317,2023-10-05,2023-12-05,54,13.66,premium,29.5,2.0,0
U003318,2022-07-22,2022-11-22,21,,premium,,,0
U003319,2022-11-21,2023-08-20,79,,free,,,0
U003320,2023-10-22,2023-11-11,33,11.66,free,0.0,4.0,1
U003321,2023-05-25,2023-08-21,15,,basic,,,0
U003322,2022-05-12,2023-08-24,26,9.24,free,4.93,0.0,0
U003323,2023-06-15,2024-01-01,15,4.1,free,0.0,2.0,0
U003324,2023-01-10,2023-11-30,85,,enterprise,,,0
U003325,2023-01-30,2023-12-21,17,21.05,free,0.0,0.0,0
U003326,2022-09-10,2023-01-29,31,,free,,,0
U003327,2023-06-27,2023-11-22,35,9.7,premium,34.06,1.0,0
U003328,2022-08-02,2022-11-01,46,9.58,free,0.0,3.0,0
U003329,2022-09-28,2023-08-19,16,16.58,basic,10.83,5.0,0
U003330,2022-10-03,2023-06-05,5,47.13,free,2.59,0.0,1
U003331,2023-11-08,2023-12-04,17,5.08,premium,31.14,2.0,0
U003332,2023-12-02,2023-12-23,15,14.17,premium,27.59,2.0,0
U003333,2022-06-21,2023-01-03,21,,free,,,0
U003334,2023-12-12,2023-12-28,36,36.34,free,0.0,3.0,0
U003335,2022-12-29,2023-06-07,62,7.65,free,0.57,0.0,0
U003336,2022-11-19,2023-08-04,75,7.44,basic,9.71,1.0,0
U003337,2023-06-28,2023-07-15,4,13.66,premium,30.35,0.0,1
U003338,2023-02-14,2023-07-13,61,19.49,basic,6.27,2.0,0
U003339,2022-07-02,2023-12-21,37,12.87,free,0.0,3.0,0
U003340,2023-08-01,2023-10-28,12,,enterprise,,,0
U003341,2022-08-02,2023-08-05,18,9.58,premium,24.06,0.0,0
U003342,2023-07-01,2023-10-13,59,,free,,,0
U003343,2023-05-01,2023-07-08,66,24.47,free,0.0,2.0,0
U003344,2023-11-24,2024-01-01,12,,basic,,,0
U003345,2023-08-12,2023-11-14,68,23.72,premium,28.59,0.0,0
U003346,2023-11-08,2023-12-27,32,13.16,premium,29.84,3.0,0
U003347,2023-03-30,2023-12-29,17,11.52,basic,11.0,2.0,0
U003348,2022-04-17,2022-06-06,21,10.16,basic,11.7,0.0,0
U003349,2022-02-15,2022-03-08,73,14.31,free,0.75,2.0,0
U003350,2023-08-20,2023-12-05,24,,basic,,,0
U003351,2023-08-12,2023-12-31,17,4.99,free,0.0,2.0,0
U003352,2023-07-13,2023-09-04,60,16.9,basic,5.89,1.0,0
U003353,2022-03-11,2022-03-21,10,,free,,,0
U003354,2022-02-07,2022-05-22,35,,basic,,,0
U003355,2023-03-15,2023-05-25,61,,basic,,,0
U003356,2023-08-31,2024-01-09,12,28.85,premium,24.51,0.0,0
U003357,2023-08-18,2023-10-30,60,6.26,free,6.12,1.0,0
U003358,2023-08-30,2024-01-05,31,3.44,free,0.0,1.0,0
U003359,2023-05-26,2023-12-12,27,,free,,,0
U003360,2022-06-29,2023-01-22,64,,free,,,0
U003361,2022-10-23,2023-03-24,70,,free,,,0
U003362,2022-06-03,2023-10-25,24,,enterprise,,,0
U003363,2022-08-11,2023-07-16,67,,free,,,0
U003364,2023-12-03,2024-01-15,59,,free,,,0
U003365,2023-08-25,2023-12-30,9,6.46,free,0.61,2.0,1
U003366,2023-09-15,2023-12-24,27,18.5,basic,11.62,2.0,0
U003367,2023-09-04,2023-11-09,17,9.66,basic,5.8,0.0,0
U003368,2022-09-05,2023-02-04,43,,free,,,0
U003369,2023-10-26,2023-11-08,20,14.43,premium,30.06,2.0,0
U003370,2023-11-06,2023-12-14,76,13.36,free,0.0,2.0,0
U003371,2022-01-22,2022-12-09,11,25.32,basic,11.21,1.0,0
U003372,2023-08-20,2023-09-14,46,,premium,,,0
U003373,2023-10-31,2023-11-02,65,9.14,premium,33.13,1.0,0
U003374,2022-02-05,2023-11-30,10,6.29,free,0.45,2.0,0
U003375,2022-12-15,2023-07-28,26,0.14,enterprise,97.84,3.0,0
U003376,2023-03-17,2023-05-04,36,,free,,,0
U003377,2022-12-31,2023-04-04,7,,free,,,1
U003378,2022-11-02,2023-06-24,26,17.37,free,4.28,2.0,0
U003379,2022-11-17,2023-11-06,41,25.49,premium,31.5,1.0,0
U003380,2022-10-11,2023-09-09,36,26.18,premium,23.77,0.0,0
U003381,2023-06-29,2023-07-28,28,22.76,free,0.63,0.0,0
U003382,2023-10-17,2023-11-07,35,13.35,free,0.89,0.0,0
U003383,2022-04-21,2023-08-29,42,9.43,premium,28.37,1.0,0
U003384,2022-01-21,2023-04-15,19,26.28,free,0.47,2.0,0
U003385,2022-11-23,2023-12-27,13,4.86,free,4.0,1.0,0
U003386,2023-11-17,2024-01-12,38,16.1,basic,7.51,1.0,0
U003387,2023-08-05,2023-12-07,50,8.28,enterprise,101.77,0.0,0
U003388,2023-08-23,2023-12-07,80,16.05,basic,6.38,3.0,0
U003389,2023-10-13,2023-11-16,78,34.78,basic,10.23,2.0,0
U003390,2023-12-04,2024-01-07,13,,premium,,,0
U003391,2022-05-05,2023-12-05,43,6.36,free,0.0,2.0,0
U003392,2022-01-30,2023-01-12,29,6.8,basic,8.66,2.0,0
U003393,2022-03-23,2022-06-29,26,9.52,basic,7.85,2.0,0
U003394,2023-04-06,2023-12-09,37,26.04,free,1.96,1.0,0
U003395,2022-01-23,2023-11-11,39,5.28,free,0.68,1.0,0
U003396,2022-05-24,2022-07-19,7,27.33,free,0.0,4.0,1
U003397,2023-07-09,2023-11-16,27,,premium,,,0
U003398,2022-07-27,2023-01-13,88,1.37,free,0.0,2.0,0
U003399,2022-07-31,2023-06-25,16,,free,,,0
U003400,2023-03-07,2023-04-02,14,21.78,basic,9.29,2.0,0
U003401,2022-06-01,2023-06-24,89,16.77,basic,8.91,2.0,0
U003402,2023-04-20,2023-05-31,14,2.17,basic,11.57,1.0,0
U003403,2022-05-09,2023-08-11,38,5.55,free,0.0,0.0,0
U003404,2022-07-24,2023-10-25,19,,free,,,0
U003405,2022-07-25,2022-08-13,99,15.21,free,0.0,1.0,0
U003406,2022-10-20,2022-11-08,52,,basic,,,0
